fromid,toid,dist
130100,370700,509.89
130100,370800,460.05
130100,370900,390.34
130100,371000,780.32
130100,371100,612.85
130100,371300,526.3
130100,371400,260.91
130100,371500,272.0
130100,371600,363.71
130100,371700,425.93
130100,410100,460.58
130100,410200,474.95
130100,410300,619.18
130100,410400,571.87
130100,410500,275.64
130100,410600,288.63
130100,410700,355.38
130100,410800,439.89
130100,410900,353.48
130100,411000,528.7
130100,411100,550.66
130100,411200,686.1
130100,411300,705.14
130100,411400,527.61
130100,411500,765.38
130100,411600,593.8
130100,411700,631.7
130100,420100,913.49
130100,420200,1035.08
130100,420300,977.63
130100,420500,1077.23
130100,420600,822.98
130100,420700,973.56
130100,420800,903.69
130100,420900,858.67
130100,421000,1020.13
130100,421100,972.33
130100,421200,1065.14
130100,421300,796.1
130100,430100,1210.09
130100,430200,1359.68
130100,430300,1292.01
130100,430400,1389.54
130100,430500,1489.02
130100,430600,1110.08
130100,430700,1159.89
130100,430800,1273.22
130100,430900,1234.95
130100,431000,1524.8
130100,431100,1591.41
130100,431200,1460.69
130100,431300,1351.53
130100,440100,1857.84
130100,440200,1664.23
130100,440300,1950.53
130100,440400,2002.85
130100,440500,2004.14
130100,440600,1900.18
130100,440700,2004.48
130100,440800,2234.36
130100,440900,2081.95
130100,441200,1822.04
130100,441300,1888.07
130100,441400,1828.58
130100,441500,1994.02
130100,441600,1768.62
130100,441700,2037.06
130100,441800,1726.52
130100,441900,1918.87
130100,442000,1951.47
130100,445100,1941.53
130100,445200,1946.7
130100,445300,1947.56
130100,450100,2079.16
130100,450200,1815.68
130100,450300,1693.25
130100,450400,1892.49
130100,450500,2186.64
130100,450600,2225.09
130100,450700,2120.02
130100,450800,1974.66
130100,450900,2079.07
130100,451000,2191.14
130100,451100,1765.84
130100,451200,1974.28
130100,451300,1899.98
130100,451400,2231.36
130100,460100,2415.38
130100,460200,2642.48
130100,500000,1445.22
130100,510100,1531.68
130100,510300,1622.27
130100,510400,2131.6
130100,510500,1686.49
130100,510600,1443.94
130100,510700,1379.98
130100,510800,1266.8
130100,510900,1434.48
130100,511000,1580.89
130100,511100,1731.79
130100,511300,1333.7
130100,511400,1626.9
130100,511500,1714.31
130100,511600,1412.68
130100,511700,1238.0
130100,511800,1711.69
130100,511900,1263.74
130100,512000,1533.04
130100,520100,1838.73
130100,520200,2067.18
130100,520300,1673.72
130100,520400,1965.51
130100,530100,2247.19
130100,530300,2184.65
130100,530400,2412.13
130100,530500,2629.51
130100,530600,1871.86
130100,530700,2309.54
130100,530800,2696.35
130100,530900,2654.78
130100,540100,3276.4
130100,610100,832.32
130100,610200,742.04
130100,610300,957.08
130100,610400,872.17
130100,610500,683.6
130100,610600,693.1
130100,610700,1060.3
130100,610800,552.18
130100,610900,994.0
130100,611000,879.63
130100,620100,1206.08
130100,620200,1728.99
130100,620300,1350.61
130100,620400,1095.21
130100,620500,1128.85
130100,620600,1254.85
130100,620700,1561.75
130100,620800,1054.63
130100,620900,1973.39
130100,621000,875.4
130100,621100,1294.57
130100,621200,1212.11
130100,630100,1438.34
130100,640100,895.42
130100,640200,858.08
130100,640300,858.88
130100,640400,1102.67
130100,650100,2856.7
130100,650200,3145.32
130200,110000,211.84
130200,120000,125.4
130200,130100,437.87
130200,130200,0.0
130200,130300,125.24
130200,130400,590.65
130200,130500,496.9
130200,130600,333.52
130200,130700,403.09
130200,130800,260.07
130200,130900,249.15
130200,131000,185.12
130200,131100,362.1
130200,140100,680.35
130200,140200,517.36
130200,140300,537.73
130200,140400,742.83
130200,140500,841.23
130200,140600,575.07
130200,140700,695.04
130200,140800,991.01
130200,140900,597.42
130200,141000,874.78
130200,141100,798.13
130200,150100,708.06
130200,150200,838.91
130200,150300,1142.71
130200,150400,533.49
130200,150500,725.2
130200,150600,1010.82
130200,150700,1687.51
130200,150800,1110.62
130200,150900,661.58
130200,210100,563.59
130200,210200,632.89
130200,210300,515.25
130200,210400,675.06
130200,210500,674.64
130200,210600,716.55
130200,210700,405.82
130200,210800,526.12
130200,210900,502.21
130200,211000,533.48
130200,211100,415.52
130200,211200,664.01
130200,211300,355.61
130200,211400,269.19
130200,220100,902.37
130200,220200,1001.5
130200,220300,788.58
130200,220400,775.14
130200,220500,827.86
130200,220600,960.19
130200,220700,902.06
130200,220800,959.9
130200,230100,1207.79
130200,230200,1285.19
130200,230300,1580.43
130200,230400,1567.63
130200,230500,1656.7
130200,230600,1101.89
130200,230700,1470.01
130200,230800,1624.97
130200,230900,1501.74
130200,231000,1311.69
130200,231100,1589.51
130200,231200,1244.41
130200,310000,1200.49
130200,320100,1043.36
130200,320200,1088.65
130200,320300,729.93
130200,320400,1090.14
130200,320500,1139.13
130200,320600,1054.83
130200,320700,718.48
130200,320800,865.22
130200,320900,877.35
